id,name,position
1,"Abdullah, Khalid",RB
2,"Abernathy, Micah",DB
3,"Adams, Tony",OG
4,"Adewusi, Tenny",DB
5,"Agudosi, Carlton",WR
6,"Alex, Terrell",RB
7,"Alexander, Frank",DE
8,"Alexander, Terrence",DB
9,"Allen, Dejon",OT
10,"Allen, Josh",C
11,"Allen, Julian",TE
12,"Alston, Johnathan",DB
13,"Anau, Peli",DE
14,"Anderson, Ryan",C
15,"Aniebonam, Jesse",DE
16,"Ankrah, Andrew",DL
17,"Armbrister, Thurston",LB
18,"Artis-Payne, Cameron",RB
19,"Askew-Henry, Dravon",DB
20,"Badet, Jeff",WR
21,"Badie, Sherman",RB
22,"Balducci, Alex",OL
23,"Ballard, Corrion",DB
24,"Banfield, Daryle",DL
25,"Banks, Josh",DT
26,"Barnes, T.J.",DT
27,"Barnes, Tavaris",DL
28,"Barron, Kirk",C
29,"Battle, Isaiah",OT
30,"Beal, Emmanuel",LB
31,"Beavers, Willie",OG
32,"Bellard, Adrian",OT
33,"Bibbs, E.J.",TE
34,"Bigelow, Kenny",DT
35,"Blacknall, Saeed",WR
36,"Bolden, Ray",WR
37,"Boozer, Cole",OL
38,"Borden, Noah",LS
39,"Bouldin, Daronte",OG
40,"Boulware, Venzell",OG
41,"Bowman, Shane",DT
42,"Bradford, Carl",LB
43,"Brady, Latarius",TE
44,"Branch, Marcelis",DB
45,"Bromley, Jay",DT
46,"Brooker, Romello",TE
47,"Brossette, Nick",RB
48,"Brown, Asantay",LB
49,"Brown, Beniquez",LB
50,"Brown, Chris",OG
51,"Brown, Cody",DB
52,"Brown, Donatello",DB
53,"Brown, Keenen",TE
54,"Brown, Sean",OL
55,"Bryant, Omarius",DE
56,"Bunche, Malcolm",OG
57,"Burnett, Kaelin",LB
58,"Bushell-Beatty, Juwann",OT
59,"Butler, James",RB
60,"Byrd, Dontez",WR
61,"Caldwell, Trey",DB
62,"Callahan, Joe",QB
63,"Callender, Nick",OT
64,"Campbell, Elijah",DB
65,"Canady, Bryce",DB
66,"Cannon, K.D.",WR
67,"Carew, Tanner",LS
68,"Carter, Cory",P
69,"Carter, Martez",RB
70,"Castillo, Sergio",K
71,"Celestin, Jonathan",LB
72,"Cheek, Bryce",DB
73,"Clark, Jeremy",DB
74,"Clarke, Will",DE
75,"Clear, Cameron",TE
76,"Cliett, Reshard",LB
77,"Coates, Sammie",WR
78,"Cobbs, Simmie",WR
79,"Colburn, Matt",RB
80,"Cole, Reginald",DB
81,"Collins, CJ",QB
82,"Collins, Parker",C
83,"Cook, Connor",QB
84,"Cook, Rishard",OG
85,"Cook, Tim",RB
86,"Cornelius, Taylor",QB
87,"Couplin, Jerome",DB
88,"Cox, Demetrious",DB
89,"Coyle, Anthony",OT
90,"Craig, Winston",DT
91,"Crawford, Corey",DL
92,"Crockett, Josh",WR
93,"Daly, Scott",LS
94,"Daniels, B.J.",QB/WR
95,"Davis, Connor",TE
96,"Davis, Ryan",WR
97,"Davison, Raymond",LB
98,"Day, Dillon",OL
99,"De Beer, Gerhard",OT
100,"Decoud, Treston",DB
101,"DeLuca, Nick",LB
102,"Dennis, Derek",OG
103,"Diggs, Mar'Sean",DB
104,"Dimel, Winston",RB
105,"Dixon, Ahmad",DB
106,"Dooley, Garret",LB
107,"Duke, Austin",WR
108,"Dunbar, Lance",RB
109,"Dungey, Eric",QB
110,"Dunlap, Jaylen",DB
111,"Dunn, Michael",OT
112,"Dupre, Malachi",WR
113,"Ealy, Kony",DE
114,"Eatmon, Quinterrius",OL
115,"Edwards, Armanti",WR
116,"Ernsberger, Donnie",TE
117,"Evans, Justin",OT
118,"Evans, Marwin",DB
119,"Faciane, Isame",DT
120,"Farnsworth, Wes",LS
121,"Farrow, Kenneth",RB
122,"Ferguson, Jazz",WR
123,"Fineanganofo, Brian",OT
124,"Fitzgerald, Nick",QB
125,"Flowers, Quinton",RB
126,"Folkerts, Brian",C
127,"Folston, James",LB
128,"Folston, Tarean",RB
129,"Ford, Keith",RB
130,"Foster, Jerald",OG
131,"Franks, Andrew",K
132,"Frazier, Marcell",DE
133,"Freeman, KeShun",LB
134,"Fugate, Garrett",QB
135,"Funches, Alex",LB
136,"Galitz, Drew",P
137,"Gardner, Ja'Quan",RB
138,"Garvin, Terence",LB
139,"Gause, Quentin",LB
140,"Gennesy, Avery",OG
141,"Gentry, Tanner",WR
142,"Gilmore, Greg",DE
143,"Ginda, Frank",LB
144,"Goolsby, DeAndre",TE
145,"Graham, Tyson",DB
146,"Grant, Doran",DB
147,"Grayson, Davon",WR
148,"Green, S.J.",WR
149,"Greene, Jalen",WR
150,"Guerad, Tony",DL
151,"Gwacham, Obum",DE
152,"Hamlett, Connor",TE
153,"Hampton, De'Quan",WR
154,"Hannemann, Micah",DB
155,"Harris, Ajene",DB
156,"Harris, Deion",DB
157,"Harris, DuJuan",RB
158,"Harris, Randall",OG
159,"Haskin, Brandon",OT
160,"Hawkins, Josh",DB
161,"Hayward, Derrick",TE
162,"Heard, Jerrod",WR
163,"Heeney, Ben",LB
164,"Heinicke, Taylor",QB
165,"Henderson, De'Angelo",RB
166,"Henderson, Roderick",DT
167,"Hendrix, Dewayne",DE
168,"Hendy, A.J.",DB
169,"Hill, Will",DB
170,"Hillary, Darius",DB
171,"Hines, D'Juan",LB
172,"Holder, Mikah",WR
173,"Holley, Nick",RB
174,"Holliman, Deion",WR
175,"Holman, Justin",QB
176,"Holmes, Gabe",TE
177,"Hood, Elijah",RB
178,"Horn, Joe",WR
179,"Horn, Reece",WR
180,"Howard, Reggie",DT
181,"Huff, Marqueston",DB
182,"Hurst, Demontre",DB
183,"Ifedi, Martin",DE
184,"Igwebuike, Godwin",DB
185,"Ivey, Martez",OT
186,"Jackson, Andrew",LB
187,"Jackson, Blake",WR
188,"Jackson, Tre'",OG
189,"Jackson, Tyree",QB
190,"Jacobs, Taivon",WR
191,"James, Charles",DB
192,"James, Darius",OT
193,"James, Nick",DT
194,"Jenkins, Alex",DE
195,"Jenkins, Josh",DB
196,"Jennings, Adonis",WR
197,"Jeter, Colin",TE
198,"Johnson, Anthony",DT
199,"Johnson, Anthony",DE
200,"Johnson, Ben",TE
201,"Johnson, Dorian",OG
202,"Johnson, Jawuan",LB
203,"Johnson, Jeremiah",DB
204,"Johnson, Josh",QB
205,"Johnson, Steven",LB
206,"Johnson, Toby",DT
207,"Jones, Bryce",DB
208,"Jones, Cardale",QB
209,"Jones, Derrick",DB
210,"Jones, Jarron",OT
211,"Jones, Landry",QB
212,"Jones, Matt",RB
213,"Jones, Seantavius",WR
214,"Jones, Shaq",DE
215,"Jones, Taiwan",LB
216,"Jones-Quartey, Harold",DB
217,"Kanoff, Chad",QB
218,"Keenoy, John",C
219,"Kelly, Anthoula",DB
220,"Khoury, Brian",DL
221,"Kikaha, Hau'oli",LB
222,"King, Marquette",P
223,"Kinnel, Tyree",DB
224,"Kirven, Korren",OT
225,"Kling, John",OT
226,"Koroma, Tejan",C
227,"Kuntz, Christian",LB
228,"Lacayo, Ernesto",K
229,"Lambert, DaVonte",DT
230,"Lampman, Jake",WR
231,"Lauina, Fred",OG
232,"Laulile, Tomasi",DE
233,"Lawrence, Des",DB
234,"Lawrence, Patrick",OT
235,"Leslie, Darnell",DE
236,"Lewis, Drew",LB
237,"Lewis, Kahlil",WR
238,"Lewis, LaTroy",LB
239,"Lucas, Marcus",TE
240,"Lucas, Marquis",OT
241,"Lyons, Caushaud",DT
242,"MacGinnis, Austin",K
243,"Maiava, Lene",OT
244,"Malone, Ryheem",WR
245,"Mama, Damien",OG
246,"Maponga, Stansly",DE
247,"Martin, Jordan",DB
248,"Martin, Justin",DB
249,"Martin-Oguike, Praise",DE
250,"Martini, Greer",LB
251,"Massaquoi, Jonathan",DE
252,"Maxey, Johnny",DE
253,"Mbu, Joey",DT
254,"McBride, Tre",WR
255,"McCaffrey, Max",WR
256,"McCants, Matt",OT
257,"McClendon, Jalan",QB
258,"McCoil, Dexter",DB
259,"McCrane, Matthew",K
260,"McCray, Jordan",OG
261,"McDade, Marcus",QB
262,"McDonald, Andrew",OT
263,"McEvoy, Tanner",WR
264,"McFadden, Tarvarus",DB
265,"McGloin, Matt",QB
266,"McKay, Mekale",WR
267,"McKever, Pharoah",TE
268,"McKinnon, Jeremiah",DB
269,"McMillan, Ventral",DL
270,"McShane, Steve",RB
271,"Merritt, Carlos",DB
272,"Michael, Christine",RB
273,"Miles, Durrant",LB
274,"Miller, Brock",P
275,"Miller, Harlan",DB
276,"Miller, Michael",OG
277,"Mobley, Sam",WR
278,"Montgomery, Sam",DE
279,"Moore, Alonzo",WR
280,"Moore, Rahim",DB
281,"Morgan, Nyles",LB
282,"Moten, Anthony",DT
283,"Mount, Deiontrez",LB
284,"Mueller, Ryan",LB
285,"Mumphery, Keith",WR
286,"Murphy, Pace",OT
287,"Murray, Aaron",QB
288,"Mwehla, Reuben",WR
289,"Myers, Mark",DB
290,"Myers, Robert",OG
291,"Nagel, Flynn",WR
292,"Navarro, Ryan",LS
293,"Neal, DeJuan",DB
294,"Neill, Jason",DE
295,"Nelson, Philip",QB
296,"Nelson, Robert",DB
297,"Niswander, Hunter",K
298,"Northrup, Reggie",LB
299,"Norton, Storm",OT
300,"O'Malley, Ryan",TE
301,"Oakman, Shawn",DE
302,"Ochi, Victor",LB
303,"Okeke, Tobenna",DE
304,"Olatoye, Ayodeji",DB
305,"Owens, Jarrell",DE
306,"Palka, Tyler",WR
307,"Palmore, Walter",DT
308,"Parham, Donald",TE
309,"Patrick, Jacques",RB
310,"Paul, Gionni",LB
311,"Payne, Jake",DL
312,"Pearson, Colby",WR
313,"Perez, Luis",QB
314,"Perkins, Kent",OG
315,"Peters, Brian",LB
316,"Phillips, Cam",WR
317,"Phillips, Dashaun",DB
318,"Pierson-El, De'Mornay",WR
319,"Plummer, Terrance",LB
320,"Ponchillia, Dalton",WR
321,"Ponder, Jermaine",DB
322,"Poole, Terry",OT
323,"Powell, Jake",TE
324,"Powell, Joe",DB
325,"Prescod, Terronne",OG
326,"President, Gimel",LB
327,"Pressley, Jhurell",RB
328,"Price, Sean",TE
329,"Priester, Robert",DB
330,"Proehl, Austin",WR
331,"Pugh, Jacob",LB
332,"Pumphrey, Donnel",RB
333,"Qualls, Elijah",DT
334,"Ramirez, Santos",DB
335,"Randle, Rodney",DB
336,"Rausa, Tyler",K
337,"Reagan, Bruno",OT
338,"Redding, Teo",WR
339,"Reed, Cedric",DE
340,"Reed, Taylor",LB
341,"Reed, Trovon",DB
342,"Rehkow, Austin",P
343,"Reilly, Brandon",WR
344,"Reynolds, Ed",DB
345,"Reynolds, Keenan",WR
346,"Rhaney, Demetrius",C
347,"Richardson, Bobby",DE
348,"Rivers, David",DB
349,"Rivers, Gerald",LB
350,"Roback, Brogan",QB
351,"Roberts, Owen",DT
352,"Robinson, Edmond",LB
353,"Robinson, Gelen",LB
